# from https://forge.in2p3.fr/issues/33587
# pix_id  cluster_i  cluster_j  pix_id_in_cluster
   0         0          0              4
   1         0          0              5
   2         0          0              7
   3         0          0              6
   4         0          0              3
   5         0          0              2
   6         0          0              1
   7        -1          1              6
   8         0          2              2
   9         0          2              3
  10         1          1              1
  11         1          1              2
  12         1         -1              5
  13         1         -1              1
  14         0         -2              7
  15         0         -2              5
  16        -1         -1              6
  17        -1         -1              7
  18        -1          1              3
  19        -1          1              7
  20         0          2              1
  21         0          2              4
  22         0          2              6
  23         1          1              5
  24         1          1              4
  25         1          1              3
  26         1         -1              7
  27         1         -1              4
  28         1         -1              2
  29         0         -2              6
  30         0         -2              4
  31         0         -2              1
  32        -1         -1              3
  33        -1         -1              4
  34        -1         -1              5
  35        -1          1              2
  36        -1          1              4
  37        -1          3              2
  38        -1          3              3
  39         0          2              5
  40         0          2              7
  41         1          3              1
  42         1          3              2
  43         1          1              7
  44         1          1              6
  45         2          0              5
  46         2          0              1
  47         1         -1              6
  48         1         -1              3
  49         1         -3              7
  50         1         -3              5
  51         0         -2              3
  52         0         -2              2
  53        -1         -3              6
  54        -1         -3              7
  55        -1         -1              2
  56        -1         -1              1
  57        -2          0              3
  58        -2          0              6
  59        -1          1              1
  60        -1          1              5
  61        -1          3              1
  62        -1          3              4
  63        -1          3              6
  64         0          4              2
  65         0          4              3
  66         1          3              5
  67         1          3              4
  68         1          3              3
  69         2          2              1
  70         2          2              2
  71         2          0              7
  72         2          0              4
  73         2          0              2
  74         2         -2              5
  75         2         -2              1
  76         1         -3              6
  77         1         -3              4
  78         1         -3              1
  79         0         -4              7
  80         0         -4              5
  81        -1         -3              3
  82        -1         -3              4
  83        -1         -3              5
  84        -2         -2              6
  85        -2         -2              7
  86        -2          0              2
  87        -2          0              4
  88        -2          0              7
  89        -2          2              3
  90        -2          2              6
  91        -2          4              3
  92        -1          3              5
  93        -1          3              7
  94         0          4              1
  95         0          4              4
  96         0          4              6
  97         1          5              2
  98         1          3              7
  99         1          3              6
 100         2          2              5
 101         2          2              4
 102         2          2              3
 103         3          1              1
 104         2          0              6
 105         2          0              3
 106         2         -2              7
 107         2         -2              4
 108         2         -2              2
 109         2         -4              5
 110         1         -3              3
 111         1         -3              2
 112         0         -4              6
 113         0         -4              4
 114         0         -4              1
 115        -1         -5              7
 116        -1         -3              2
 117        -1         -3              1
 118        -2         -2              3
 119        -2         -2              4
 120        -2         -2              5
 121        -3         -1              6
 122        -2          0              1
 123        -2          0              5
 124        -2          2              2
 125        -2          2              4
 126        -2          2              7
 127        -2          4              4
 128        -2          4              6
 129        -1          5              2
 130        -1          5              3
 131         0          4              5
 132         0          4              7
 133         1          5              1
 134         1          5              4
 135         1          5              3
 136         2          4              1
 137         2          4              2
 138         2          2              7
 139         2          2              6
 140         3          1              5
 141         3          1              4
 142         3          1              2
 143         3         -1              5
 144         3         -1              1
 145         2         -2              6
 146         2         -2              3
 147         2         -4              7
 148         2         -4              4
 149         2         -4              1
 150         1         -5              7
 151         1         -5              5
 152         0         -4              3
 153         0         -4              2
 154        -1         -5              6
 155        -1         -5              4
 156        -1         -5              5
 157        -2         -4              6
 158        -2         -4              7
 159        -2         -2              2
 160        -2         -2              1
 161        -3         -1              3
 162        -3         -1              4
 163        -3         -1              7
 164        -3          1              3
 165        -3          1              6
 166        -2          2              1
 167        -2          2              5
 168        -2          4              2
 169        -2          4              5
 170        -2          4              7
 171        -1          5              1
 172        -1          5              4
 173        -1          5              6
 174         0          6              2
 175         0          6              3
 176         1          5              5
 177         1          5              7
 178         1          5              6
 179         2          4              5
 180         2          4              4
 181         2          4              3
 182         3          3              1
 183         3          3              2
 184         3          1              7
 185         3          1              6
 186         3          1              3
 187         3         -1              7
 188         3         -1              4
 189         3         -1              2
 190         3         -3              5
 191         3         -3              1
 192         2         -4              6
 193         2         -4              3
 194         2         -4              2
 195         1         -5              6
 196         1         -5              4
 197         1         -5              1
 198         0         -6              7
 199         0         -6              5
 200        -1         -5              3
 201        -1         -5              2
 202        -1         -5              1
 203        -2         -4              3
 204        -2         -4              4
 205        -2         -4              5
 206        -3         -3              6
 207        -3         -3              7
 208        -3         -1              2
 209        -3         -1              1
 210        -3         -1              5
 211        -3          1              2
 212        -3          1              4
 213        -3          1              7
 214        -3          3              3
 215        -3          3              6
 216        -2          4              1
 217        -3          5              6
 218        -2          6              2
 219        -2          6              3
 220        -1          5              5
 221        -1          5              7
 222         0          6              1
 223         0          6              4
 224         0          6              6
 225         1          7              2
 226         1          7              3
 227         2          6              1
 228         2          6              2
 229         2          4              7
 230         2          4              6
 231         3          3              5
 232         3          3              4
 233         3          3              3
 234         4          2              1
 235         4          2              2
 236         4          0              5
 237         4          0              1
 238         3         -1              6
 239         3         -1              3
 240         3         -3              7
 241         3         -3              4
 242         3         -3              2
 243         3         -5              5
 244         3         -5              1
 245         2         -6              7
 246         2         -6              5
 247         1         -5              3
 248         1         -5              2
 249         0         -6              6
 250         0         -6              4
 251         0         -6              1
 252        -1         -7              7
 253        -1         -7              5
 254        -2         -6              6
 255        -2         -6              7
 256        -2         -4              2
 257        -2         -4              1
 258        -3         -3              3
 259        -3         -3              4
 260        -3         -3              5
 261        -4         -2              6
 262        -4         -2              7
 263        -4          0              3
 264        -4          0              6
 265        -3          1              1
 266        -3          1              5
 267        -3          3              2
 268        -3          3              4
 269        -3          3              7
 270        -3          5              3
 271        -3          5              7
 272        -2          6              1
 273        -2          6              4
 274        -2          6              6
 275        -1          7              2
 276        -1          7              3
 277         0          6              5
 278         0          6              7
 279         1          7              1
 280         1          7              4
 281         1          7              6
 282         2          6              5
 283         2          6              4
 284         2          6              3
 285         3          5              1
 286         3          5              2
 287         3          3              7
 288         3          3              6
 289         4          2              5
 290         4          2              4
 291         4          2              3
 292         4          0              7
 293         4          0              4
 294         4          0              2
 295         4         -2              5
 296         4         -2              1
 297         3         -3              6
 298         3         -3              3
 299         3         -5              7
 300         3         -5              4
 301         3         -5              2
 302         2         -6              6
 303         2         -6              4
 304         2         -6              1
 305         1         -7              7
 306         1         -7              5
 307         0         -6              3
 308         0         -6              2
 309        -1         -7              6
 310        -1         -7              4
 311        -1         -7              1
 312        -2         -6              3
 313        -2         -6              4
 314        -2         -6              5
 315        -3         -5              6
 316        -3         -5              7
 317        -3         -3              2
 318        -3         -3              1
 319        -4         -2              3
 320        -4         -2              4
 321        -4         -2              5
 322        -4          0              2
 323        -4          0              4
 324        -4          0              7
 325        -4          2              3
 326        -4          2              6
 327        -3          3              1
 328        -3          3              5
 329        -3          5              2
 330        -3          5              4
 331        -3          7              2
 332        -3          7              3
 333        -2          6              5
 334        -2          6              7
 335        -1          7              1
 336        -1          7              4
 337        -1          7              6
 338         0          8              2
 339         0          8              3
 340         1          7              5
 341         1          7              7
 342         2          8              1
 343         2          8              2
 344         2          6              7
 345         2          6              6
 346         3          5              5
 347         3          5              4
 348         3          5              3
 349         4          4              1
 350         4          4              2
 351         4          2              7
 352         4          2              6
 353         5          1              5
 354         5          1              1
 355         4          0              6
 356         4          0              3
 357         4         -2              7
 358         4         -2              4
 359         4         -2              2
 360         4         -4              5
 361         4         -4              1
 362         3         -5              6
 363         3         -5              3
 364         3         -7              7
 365         3         -7              5
 366         2         -6              3
 367         2         -6              2
 368         1         -7              6
 369         1         -7              4
 370         1         -7              1
 371         0         -8              7
 372         0         -8              5
 373        -1         -7              3
 374        -1         -7              2
 375        -2         -8              6
 376        -2         -8              7
 377        -2         -6              2
 378        -2         -6              1
 379        -3         -5              3
 380        -3         -5              4
 381        -3         -5              5
 382        -4         -4              6
 383        -4         -4              7
 384        -4         -2              2
 385        -4         -2              1
 386        -5         -1              3
 387        -5         -1              6
 388        -4          0              1
 389        -4          0              5
 390        -4          2              2
 391        -4          2              4
