E	xx	xx	dNdE		dNdE_e		Percentage
79.4328 39.9926 16.6357	730.e-12 	30.e-12		6.8
125.893 10.5215 1.30966 137.e-12 	6.e-12		3.67
199.526 3.65188 0.22562 30.5e-12 	1.5e-12		2.25
316.228 2.70062 0.19314 9.3e-12 	0.9e-12		2.03
501.187 2.19932 0.24697 2.3e-12 	0.4e-12		1.51
794.328 1.66672 0.22231 0.72e-12 	0.08e-12	1.53
1258.93 1.48853 0.19754 0.23e-12 	0.025e-12	1.66
1995.26 2.3236 	0.35084 0.090e-12 	0.015e-12	2.36
3162.28 2.28266 0.50886 0.041e-12 	0.011e-12	3.8
5011.87 2.53844 0.69935 0.017e-12 	0.005e-12	6.1
7943.28 5.31584 1.59031 0.013e-12 	0.005e-12	15
