        ebin_low       ebin_up  gammaness_cut  theta2_cut      n_gammas     n_hadrons  gamma_rate  hadron_rate      nex_min  sensitivity  eff_gamma  eff_hadron
0      10.000000     15.848932       0.000000       0.005      0.000000      0.000000    0.000000     0.000000    25.000000          inf   0.000000    0.000000
1      15.848932     25.118864       0.000000       0.005      0.000000    504.417408    0.000000     0.168139   171.474230          inf   0.000000    0.001389
2      25.118864     39.810717       0.111111       0.050    180.143977   1715.849232    0.060048     0.571950   305.492318   169.582310   0.171485    0.001746
3      39.810717     63.095734       0.000000       0.050   2130.673759  22533.550387    0.710225     7.511183  1073.975199    50.405427   0.327304    0.014302
4      63.095734    100.000000       0.222222       0.040  10175.593266    932.294840    3.391864     0.310765   228.524864     2.245814   0.399908    0.000460
5     100.000000    158.489319       0.333333       0.035  15817.852913   1425.388763    5.272618     0.475130   279.560791     1.767375   0.413695    0.000637
6     158.489319    251.188643       0.555556       0.030  12437.362813    300.132367    4.145788     0.100044   135.212930     1.087151   0.406142    0.000122
7     251.188643    398.107171       0.666667       0.025   8813.088501    192.127561    2.937696     0.064043   110.775660     1.256945   0.422267    0.000076
8     398.107171    630.957344       0.777778       0.020   5316.157347    123.403914    1.772052     0.041135    91.378096     1.718875   0.427072    0.000048
9     630.957344   1000.000000       0.888889       0.015   2506.664056     55.588162    0.835555     0.018529    65.702126     2.621098   0.379812    0.000027
10   1000.000000   1584.893192       0.888889       0.010   1128.865807     34.924508    0.376289     0.011642    54.888995     4.862314   0.368895    0.000025
11   1584.893192   2511.886432       0.555556       0.015    817.496696     33.079560    0.272499     0.011027    53.785788     6.579328   0.567433    0.000035
12   2511.886432   3981.071706       0.777778       0.015    305.792804     23.384942    0.101931     0.007795    47.418833    15.506851   0.511750    0.000038
13   3981.071706   6309.573445       0.333333       0.020    163.068585     24.891797    0.054356     0.008297    48.482747    29.731506   0.628501    0.000067
14   6309.573445  10000.000000       0.111111       0.025     82.836465     18.168456    0.027612     0.006056    43.453178    52.456581   0.695261    0.000075
15  10000.000000  15848.931925       0.111111       0.035     34.707128     20.016346    0.011569     0.006672    44.913805   129.408012   0.674046    0.000124
16  15848.931925  25118.864315       0.000000       0.045     12.474293     39.353996    0.004158     0.013118    57.426972   460.362544   0.647809    0.000389
17  25118.864315  39810.717055       0.000000       0.005      1.488212      6.507305    0.000496     0.002169    31.806719          inf   0.170218    0.000104
18  39810.717055  63095.734448       0.000000       0.005      0.210782      4.532551    0.000070     0.001511    29.021025          inf   0.164301    0.000119
